   phi1      Phi     phi2    phase        x        y       ci
11.0631  20.7042  31.2241        1        1 0.866025        1
12.0791  22.0739  31.3806        1      1.5  1.73205        1
11.8864  22.2424  31.7762        1        1  2.59808        1
12.8622  22.7706  32.8066        1      1.5   3.4641        1
12.3838  24.0699  32.7252        1        1  4.33013        1
13.9786  23.2764  33.6862        1      1.5  5.19615        1
12.8492  23.3701  33.8788        1        1  6.06218        1
 13.803  24.5478  34.7425        1      1.5   6.9282        1
13.5425  23.1142  34.2546        1        1  7.79423        1
13.5664  24.3254  33.8889        1      1.5  8.66025        1
14.3483  23.7751  32.8449        1        1  9.52628        1
 14.248  23.3225  33.0752        1      1.5  10.3923        1
12.4836  22.1309  32.3176        1        1  11.2583        1
12.1862  22.6264  32.1353        1      1.5  12.1244        1
11.7369  21.3963  31.8599        1        1  12.9904        1
11.8803  21.1882  31.5479        1      1.5  13.8564        1
10.6581  20.4089   30.809        1        1  14.7224        1
10.4236  19.6283  30.1265        1      1.5  15.5885        1
8.68356  18.2596   29.871        1        1  16.4545        1
9.62046  20.0538  28.7763        1      1.5  17.3205        1
8.89564  18.1577  28.1647        1        1  18.1865        1
 7.7637  17.6101  27.9254        1      1.5  19.0526        1
8.08706  17.2026   27.618        1        1  19.9186        1
7.16705  17.3777  27.1175        1      1.5  20.7846        1
6.92281  18.0308  27.1519        1        1  21.6506        1
8.12426  17.9765  27.9681        1      1.5  22.5167        1
8.01679  16.7809  28.4253        1        1  23.3827        1
8.62538  18.8362  27.7073        1      1.5  24.2487        1
7.30357  18.2263  29.0379        1        1  25.1147        1
8.33211  18.4514  28.9481        1      1.5  25.9808        1
9.80106   19.269  29.2559        1        1  26.8468        1
10.4352  19.5455  30.7326        1      1.5  27.7128        1
10.8314  19.8969   30.801        1        1  28.5788        1
11.4402  20.5815  30.6066        1      1.5  29.4449        1
11.0754  21.9652  31.7262        1        1  30.3109        1
12.3694  22.8252   32.145        1      1.5  31.1769        1
12.5393  22.6071  33.0357        1        1  32.0429        1
13.1173  23.0578  32.3772        1      1.5   32.909        1
14.1633  22.8423  33.6164        1        1   33.775        1
14.2106  22.9209  34.3787        1      1.5   34.641        1
13.4244  24.2057  32.5158        1        1   35.507        1
13.3297  23.9675  33.7241        1      1.5  36.3731        1
13.8142  23.0372  33.9425        1        1  37.2391        1
13.8082  23.5923   33.289        1      1.5  38.1051        1
13.0891  22.4791   33.038        1        1  38.9711        1
13.0845  22.9759  33.1117        1      1.5  39.8372        1
12.8718  22.3933  32.4725        1        1  40.7032        1
 12.195  21.5623  31.5656        1      1.5  41.5692        1
11.2903  20.8968  30.3279        1        1  42.4352        1
 11.432  19.7681  30.5143        1      1.5  43.3013        1
10.1327  20.0942  30.0265        1        1  44.1673        1
9.93691  19.3706  29.6496        1      1.5  45.0333        1
8.54882  18.6706  29.2022        1        1  45.8993        1
9.20091  19.0573  28.9566        1      1.5  46.7654        1
7.93336  19.3998  28.0433        1        1  47.6314        1
8.87724  19.0194  27.5273        1      1.5  48.4974        1
7.70677  17.4823  27.9581        1        1  49.3634        1
7.73275  17.8497  27.4478        1      1.5  50.2295        1
6.79964  17.8288  27.5865        1        1  51.0955        1
7.44669  18.0771  27.5185        1      1.5  51.9615        1
