   phi1      Phi     phi2    phase        x        y       ci
15.9416  25.5826  36.1026        1        1 0.866025        1
16.1418  26.1366  35.4433        1      1.5  1.73205        1
15.7196  26.0755  35.6094        1        1  2.59808        1
15.9757  25.8841    35.92        1      1.5   3.4641        1
15.3974  27.0835  35.7388        1        1  4.33013        1
16.4312   25.729  36.1388        1      1.5  5.19615        1
15.3841   25.905  36.4136        1        1  6.06218        1
 15.976  26.7208  36.9155        1      1.5   6.9282        1
16.0067  25.5785  36.7189        1        1  7.79423        1
15.8803  26.6393  36.2028        1      1.5  8.66025        1
  17.16  26.5868  35.6566        1        1  9.52628        1
17.1035   26.178  35.9307        1      1.5  10.3923        1
16.0119  25.6592  35.8459        1        1  11.2583        1
 15.908  26.3483  35.8571        1      1.5  12.1244        1
16.2505  25.9098  36.3735        1        1  12.9904        1
16.6714  25.9793   36.339        1      1.5  13.8564        1
16.2871  26.0379   36.438        1        1  14.7224        1
16.3367  25.5415  36.0396        1      1.5  15.5885        1
15.4015  24.9776   36.589        1        1  16.4545        1
16.5509  26.9842  35.7067        1      1.5  17.3205        1
13.5232  22.7852  32.7923        1        1  18.1865        1
12.4638  22.3102  32.6255        1      1.5  19.0526        1
 13.317  22.4325  32.8479        1        1  19.9186        1
 12.281  22.4916  32.2314        1      1.5  20.7846        1
12.3634  23.4714  32.5925        1        1  21.6506        1
13.2382  23.0904   33.082        1      1.5  22.5167        1
13.2467  22.0109  33.6552        1        1  23.3827        1
13.3254  23.5363  32.4074        1      1.5  24.2487        1
11.9311  22.8539  33.6654        1        1  25.1147        1
12.2625  22.3818  32.8786        1      1.5  25.9808        1
 13.519  22.9869  32.9739        1        1  26.8468        1
13.3484  22.4586  33.6457        1      1.5  27.7128        1
13.4604  22.5258    33.43        1        1  28.5788        1
13.2313  22.3726  32.3976        1      1.5  29.4449        1
 12.589  23.4788  33.2397        1        1  30.3109        1
13.0913  23.5471  32.8668        1      1.5  31.1769        1
13.0677  23.1354   33.564        1        1  32.0429        1
