phi1      Phi     phi2    phase        x        y       ci
  10       20       36        1        1 0.866025        1
  10       20       36        1      1.5  1.73205        1
  10       20       36        1        1  2.59808        1
  10       20       36        1      1.5   3.4641        1
  10       20       36        1        1  4.33013        1
  10       20       36        1      1.5  5.19615        1
  10       20       36        1        1  6.06218        1
  10       20       36        1      1.5   6.9282        1
  10       20       36        1        1  7.79423        1
  10       20       36        1      1.5  8.66025        1
  10       20       36        1        1  9.52628        1
  10       20       36        1      1.5  10.3923        1
  10       20       36        1        1  11.2583        1
  10       20       36        1      1.5  12.1244        1
  10       20       36        1        1  12.9904        1
  10       20       36        1      1.5  13.8564        1
  10       20       36        1        1  14.7224        1
  10       20       36        1      1.5  15.5885        1
  10       20       36        1        1  16.4545        1
  10       20       36        1      1.5  17.3205        1
  10       20       33        1        1  18.1865        1
  10       20       33        1      1.5  19.0526        1
  10       20       33        1        1  19.9186        1
  10       20       33        1      1.5  20.7846        1
  10       20       33        1        1  21.6506        1
  10       20       33        1      1.5  22.5167        1
  10       20       33        1        1  23.3827        1
  10       20       33        1      1.5  24.2487        1
  10       20       33        1        1  25.1147        1
  10       20       33        1      1.5  25.9808        1
  10       20       33        1        1  26.8468        1
  10       20       33        1      1.5  27.7128        1
  10       20       33        1        1  28.5788        1
  10       20       33        1      1.5  29.4449        1
  10       20       33        1        1  30.3109        1
  10       20       33        1      1.5  31.1769        1
  10       20       33        1        1  32.0429        1
  10       20       33        1      1.5   32.909        1
  10       20       33        1        1   33.775        1
  10       20       33        1      1.5   34.641        1
  10       20       36        1        1   35.507        1
  10       20       36        1      1.5  36.3731        1
  10       20       36        1        1  37.2391        1
  10       20       36        1      1.5  38.1051        1
  10       20       36        1        1  38.9711        1
  10       20       36        1      1.5  39.8372        1
  10       20       36        1        1  40.7032        1
  10       20       36        1      1.5  41.5692        1
  10       20       36        1        1  42.4352        1
  10       20       36        1      1.5  43.3013        1
  10       20       36        1        1  44.1673        1
  10       20       36        1      1.5  45.0333        1
  10       20       36        1        1  45.8993        1
  10       20       36        1      1.5  46.7654        1
  10       20       36        1        1  47.6314        1
  10       20       36        1      1.5  48.4974        1
  10       20       36        1        1  49.3634        1
  10       20       36        1      1.5  50.2295        1
  10       20       36        1        1  51.0955        1
  10       20       36        1      1.5  51.9615        1
  10       20       33        1        1  52.8275        1
  10       20       33        1      1.5  53.6936        1
  10       20       33        1        1  54.5596        1
  10       20       33        1      1.5  55.4256        1
  10       20       33        1        1  56.2917        1
  10       20       33        1      1.5  57.1577        1
  10       20       33        1        1  58.0237        1
  10       20       33        1      1.5  58.8897        1
  10       20       33        1        1  59.7558        1
  10       20       33        1      1.5  60.6218        1
  10       20       33        1        1  61.4878        1
  10       20       33        1      1.5  62.3538        1
  10       20       33        1        1  63.2199        1
  10       20       33        1      1.5  64.0859        1
  10       20       33        1        1  64.9519        1
  10       20       33        1      1.5  65.8179        1
  10       20       33        1        1   66.684        1
  10       20       33        1      1.5    67.55        1
  10       20       33        1        1   68.416        1
  10       20       33        1      1.5   69.282        1
  10       20       36        1        1  70.1481        1
  10       20       36        1      1.5  71.0141        1
  10       20       36        1        1  71.8801        1
  10       20       36        1      1.5  72.7461        1
  10       20       36        1        1  73.6122        1
  10       20       36        1      1.5  74.4782        1
  10       20       36        1        1  75.3442        1
  10       20       36        1      1.5  76.2102        1
  10       20       36        1        1  77.0763        1
  10       20       36        1      1.5  77.9423        1
  10       20       36        1        1  78.8083        1
  10       20       36        1      1.5  79.6743        1
  10       20       36        1        1  80.5404        1
  10       20       36        1      1.5  81.4064        1
  10       20       36        1        1  82.2724        1
  10       20       36        1      1.5  83.1384        1
  10       20       36        1        1  84.0045        1
  10       20       36        1      1.5  84.8705        1
  10       20       36        1        1  85.7365        1
  10       20       36        1      1.5  86.6025        1
  10       20       36        1        2 0.866025        1
  10       20       36        1      2.5  1.73205        1
  10       20       36        1        2  2.59808        1
  10       20       36        1      2.5   3.4641        1
  10       20       36        1        2  4.33013        1
  10       20       36        1      2.5  5.19615        1
  10       20       36        1        2  6.06218        1
  10       20       36        1      2.5   6.9282        1
  10       20       36        1        2  7.79423        1
  10       20       36        1      2.5  8.66025        1
  10       20       36        1        2  9.52628        1
  10       20       36        1      2.5  10.3923        1
  10       20       36        1        2  11.2583        1
  10       20       36        1      2.5  12.1244        1
  10       20       36        1        2  12.9904        1
  10       20       36        1      2.5  13.8564        1
  10       20       36        1        2  14.7224        1
  10       20       36        1      2.5  15.5885        1
  10       20       36        1        2  16.4545        1
  10       20       36        1      2.5  17.3205        1
  10       20       33        1        2  18.1865        1
  10       20       33        1      2.5  19.0526        1
  10       20       33        1        2  19.9186        1
  10       20       33        1      2.5  20.7846        1
  10       20       33        1        2  21.6506        1
  10       20       33        1      2.5  22.5167        1
  10       20       33        1        2  23.3827        1
  10       20       33        1      2.5  24.2487        1
  10       20       33        1        2  25.1147        1
  10       20       33        1      2.5  25.9808        1
  10       20       33        1        2  26.8468        1
  10       20       33        1      2.5  27.7128        1
  10       20       33        1        2  28.5788        1
  10       20       33        1      2.5  29.4449        1
  10       20       33        1        2  30.3109        1
  10       20       33        1      2.5  31.1769        1
  10       20       33        1        2  32.0429        1
  10       20       33        1      2.5   32.909        1
  10       20       33        1        2   33.775        1
  10       20       33        1      2.5   34.641        1
  10       20       36        1        2   35.507        1
  10       20       36        1      2.5  36.3731        1
  10       20       36        1        2  37.2391        1
  10       20       36        1      2.5  38.1051        1
  10       20       36        1        2  38.9711        1
  10       20       36        1      2.5  39.8372        1
  10       20       36        1        2  40.7032        1
