   phi1      Phi     phi2    phase        x        y       ci
10.9363  20.9363  30.9363        1        1 0.866025        1
 11.624   21.624   31.624        1      1.5  1.73205        1
 11.829   21.829   31.829        1        1  2.59808        1
12.4603  22.4603  32.4603        1      1.5   3.4641        1
12.5883  22.5883  32.5883        1        1  4.33013        1
 13.124   23.124   33.124        1      1.5  5.19615        1
  13.14    23.14    33.14        1        1  6.06218        1
13.5501  23.5501  33.5501        1      1.5   6.9282        1
13.4301  23.4301  33.4301        1        1  7.79423        1
13.6969  23.6969  33.6969        1      1.5  8.66025        1
13.4301  23.4301  33.4301        1        1  9.52628        1
13.5501  23.5501  33.5501        1      1.5  10.3923        1
  13.14    23.14    33.14        1        1  11.2583        1
 13.124   23.124   33.124        1      1.5  12.1244        1
12.5883  22.5883  32.5883        1        1  12.9904        1
12.4603  22.4603  32.4603        1      1.5  13.8564        1
 11.829   21.829   31.829        1        1  14.7224        1
 11.624   21.624   31.624        1      1.5  15.5885        1
10.9363  20.9363  30.9363        1        1  16.4545        1
10.6969  20.6969  30.6969        1      1.5  17.3205        1
9.99768  19.9977  29.9977        1        1  18.1865        1
9.76987  19.7699  29.7699        1      1.5  19.0526        1
9.10502   19.105   29.105        1        1  19.9186        1
8.93356  18.9336  28.9336        1      1.5  20.7846        1
8.34567  18.3457  28.3457        1        1  21.6506        1
8.26987  18.2699  28.2699        1      1.5  22.5167        1
7.79397   17.794   27.794        1        1  23.3827        1
7.84375  17.8437  27.8437        1      1.5  24.2487        1
7.50392  17.5039  27.5039        1        1  25.1147        1
7.69692  17.6969  27.6969        1      1.5  25.9808        1
7.50392  17.5039  27.5039        1        1  26.8468        1
7.84375  17.8437  27.8437        1      1.5  27.7128        1
7.79397   17.794   27.794        1        1  28.5788        1
8.26987  18.2699  28.2699        1      1.5  29.4449        1
8.34567  18.3457  28.3457        1        1  30.3109        1
8.93356  18.9336  28.9336        1      1.5  31.1769        1
9.10502   19.105   29.105        1        1  32.0429        1
9.76987  19.7699  29.7699        1      1.5   32.909        1
9.99768  19.9977  29.9977        1        1   33.775        1
10.6969  20.6969  30.6969        1      1.5   34.641        1
10.9363  20.9363  30.9363        1        1   35.507        1
 11.624   21.624   31.624        1      1.5  36.3731        1
 11.829   21.829   31.829        1        1  37.2391        1
12.4603  22.4603  32.4603        1      1.5  38.1051        1
12.5883  22.5883  32.5883        1        1  38.9711        1
 13.124   23.124   33.124        1      1.5  39.8372        1
  13.14    23.14    33.14        1        1  40.7032        1
13.5501  23.5501  33.5501        1      1.5  41.5692        1
13.4301  23.4301  33.4301        1        1  42.4352        1
13.6969  23.6969  33.6969        1      1.5  43.3013        1
13.4301  23.4301  33.4301        1        1  44.1673        1
13.5501  23.5501  33.5501        1      1.5  45.0333        1
  13.14    23.14    33.14        1        1  45.8993        1
 13.124   23.124   33.124        1      1.5  46.7654        1
12.5883  22.5883  32.5883        1        1  47.6314        1
12.4603  22.4603  32.4603        1      1.5  48.4974        1
 11.829   21.829   31.829        1        1  49.3634        1
 11.624   21.624   31.624        1      1.5  50.2295        1
10.9363  20.9363  30.9363        1        1  51.0955        1
10.6969  20.6969  30.6969        1      1.5  51.9615        1
9.99768  19.9977  29.9977        1        1  52.8275        1
9.76987  19.7699  29.7699        1      1.5  53.6936        1
9.10502   19.105   29.105        1        1  54.5596        1
8.93356  18.9336  28.9336        1      1.5  55.4256        1
8.34567  18.3457  28.3457        1        1  56.2917        1
8.26987  18.2699  28.2699        1      1.5  57.1577        1
7.79397   17.794   27.794        1        1  58.0237        1
7.84375  17.8437  27.8437        1      1.5  58.8897        1
7.50392  17.5039  27.5039        1        1  59.7558        1
7.69692  17.6969  27.6969        1      1.5  60.6218        1
7.50392  17.5039  27.5039        1        1  61.4878        1
7.84375  17.8437  27.8437        1      1.5  62.3538        1
7.79397   17.794   27.794        1        1  63.2199        1
8.26987  18.2699  28.2699        1      1.5  64.0859        1
8.34567  18.3457  28.3457        1        1  64.9519        1
8.93356  18.9336  28.9336        1      1.5  65.8179        1
9.10502   19.105   29.105        1        1   66.684        1
9.76987  19.7699  29.7699        1      1.5    67.55        1
9.99768  19.9977  29.9977        1        1   68.416        1
10.6969  20.6969  30.6969        1      1.5   69.282        1
10.9363  20.9363  30.9363        1        1  70.1481        1
 11.624   21.624   31.624        1      1.5  71.0141        1
 11.829   21.829   31.829        1        1  71.8801        1
12.4603  22.4603  32.4603        1      1.5  72.7461        1
12.5883  22.5883  32.5883        1        1  73.6122        1
 13.124   23.124   33.124        1      1.5  74.4782        1
