   phi1      Phi     phi2    phase        x        y       ci
11.3772  20.7081  31.1962        1        1 0.866025        1
11.8087  21.4341  32.3704        1      1.5  1.73205        1
 12.301   20.694  30.9443        1        1  2.59808        1
11.8844   22.325  33.3353        1      1.5   3.4641        1
11.8784  22.3386  33.0139        1        1  4.33013        1
13.5277  23.8169  33.0707        1      1.5  5.19615        1
12.8735  23.4163  33.5184        1        1  6.06218        1
 12.742  23.1712  34.0334        1      1.5   6.9282        1
13.5087  21.8223  33.5204        1        1  7.79423        1
13.4911  23.9603   33.979        1      1.5  8.66025        1
13.0813  23.7328  33.7992        1        1  9.52628        1
13.5962  22.2221  33.1135        1      1.5  10.3923        1
12.6325  23.6619  33.7883        1        1  11.2583        1
 12.645  22.6322  32.6056        1      1.5  12.1244        1
12.2667  23.6737  33.5587        1        1  12.9904        1
12.2604  22.0721  33.1266        1      1.5  13.8564        1
11.3509  21.4655  31.6496        1        1  14.7224        1
11.9623  21.4488  31.6946        1      1.5  15.5885        1
11.2511  19.8379   30.833        1        1  16.4545        1
10.9395  20.1867   30.514        1      1.5  17.3205        1
9.75563  20.0205  30.0363        1        1  18.1865        1
9.30224  19.2818  30.3347        1      1.5  19.0526        1
9.60816  19.6301  29.8183        1        1  19.9186        1
9.19878  19.9901  29.4579        1      1.5  20.7846        1
9.02878  18.3495  27.8679        1        1  21.6506        1
8.49005     18.1  28.8252        1      1.5  22.5167        1
7.49875  18.0973  28.1175        1        1  23.3827        1
7.34146  17.8506  28.1883        1      1.5  24.2487        1
8.28489  17.5543  27.9161        1        1  25.1147        1
8.06334  17.6844  26.9449        1      1.5  25.9808        1
7.62676  18.0029  27.7302        1        1  26.8468        1
7.34383  18.2436  28.0628        1      1.5  27.7128        1
7.14808  18.6036  28.1277        1        1  28.5788        1
8.98087  19.3261  27.3338        1      1.5  29.4449        1
 8.4081  17.5246  28.7493        1        1  30.3109        1
9.02331  18.8179   29.437        1      1.5  31.1769        1
8.99381  19.4723  29.3201        1        1  32.0429        1
9.46877  19.3803  29.5161        1      1.5   32.909        1
9.73932  20.0551  29.6514        1        1   33.775        1
10.3626  20.5485   31.052        1      1.5   34.641        1
11.1389  20.7812    30.41        1        1   35.507        1
12.1564  21.4948  31.5483        1      1.5  36.3731        1
12.3688  22.5759  30.8773        1        1  37.2391        1
12.1104  21.6277  32.1063        1      1.5  38.1051        1
13.0768  22.6765  32.9801        1        1  38.9711        1
12.9958  23.6383  33.4076        1      1.5  39.8372        1
 12.947  23.5165  31.9876        1        1  40.7032        1
13.1992  24.4997  33.0544        1      1.5  41.5692        1
13.9592  23.6696  32.8791        1        1  42.4352        1
11.7879  23.1747  33.5543        1      1.5  43.3013        1
13.2798  23.4941  33.3565        1        1  44.1673        1
12.3653  23.2837  32.7002        1      1.5  45.0333        1
13.2775  23.1085  33.4387        1        1  45.8993        1
12.9065  23.2535   33.172        1      1.5  46.7654        1
13.4414   23.188  33.3798        1        1  47.6314        1
12.7135  22.6034  32.8877        1      1.5  48.4974        1
11.6948  22.6928  32.0868        1        1  49.3634        1
11.4452  21.9202  32.6398        1      1.5  50.2295        1
 10.918  20.7223   31.105        1        1  51.0955        1
11.3706  20.9876   31.051        1      1.5  51.9615        1
9.85663  20.0228  30.0376        1        1  52.8275        1
10.4914  19.3198  29.4143        1      1.5  53.6936        1
9.58992  19.7059  28.8731        1        1  54.5596        1
8.89344  18.9753  28.1287        1      1.5  55.4256        1
8.40995  18.8485  28.0872        1        1  56.2917        1
8.23035  18.8516   27.901        1      1.5  57.1577        1
8.00557  17.4815  28.3623        1        1  58.0237        1
7.41119  18.7585  28.2344        1      1.5  58.8897        1
7.76905  17.8415  27.9132        1        1  59.7558        1
7.05176   17.119  27.7698        1      1.5  60.6218        1
7.68565  17.5541  28.2627        1        1  61.4878        1
7.78408  17.1014   27.924        1      1.5  62.3538        1
7.40335  17.2806  28.2749        1        1  63.2199        1
8.98234  18.5017  27.9022        1      1.5  64.0859        1
8.42472  19.0284  29.1302        1        1  64.9519        1
8.72556  17.9069  28.8564        1      1.5  65.8179        1
7.98554  18.9396  29.0076        1        1   66.684        1
10.1535   19.923  30.2134        1      1.5    67.55        1
9.88258  20.0314   28.957        1        1   68.416        1
9.86754  20.8421  30.2934        1      1.5   69.282        1
 10.876  20.8722  31.5989        1        1  70.1481        1
10.7233  22.0384  32.0708        1      1.5  71.0141        1
11.7149  21.8463    32.47        1        1  71.8801        1
12.1896  22.3366  32.5739        1      1.5  72.7461        1
12.6991  22.1357  32.8695        1        1  73.6122        1
13.8522  22.4567  33.9789        1      1.5  74.4782        1
13.4198  22.5688   33.144        1        1  75.3442        1
13.2665  23.7672  33.4734        1      1.5  76.2102        1
12.9572  23.0919  33.6728        1        1  77.0763        1
13.0406  23.6758  33.5328        1      1.5  77.9423        1
12.6995  23.6942   33.029        1        1  78.8083        1
13.9613  23.7646  33.7962        1      1.5  79.6743        1
13.4506  24.0699  32.1242        1        1  80.5404        1
13.3531  22.8475  33.7835        1      1.5  81.4064        1
13.0761  24.0507  33.6223        1        1  82.2724        1
12.7946  22.6526  32.5531        1      1.5  83.1384        1
11.6115  21.1514  31.0242        1        1  84.0045        1
11.4516  21.4258  31.7842        1      1.5  84.8705        1
10.4199  21.2029  31.0971        1        1  85.7365        1
10.9316  21.3581  30.6993        1      1.5  86.6025        1
10.9179  21.1147  30.5839        1        2 0.866025        1
12.2976  22.2724  31.9817        1      2.5  1.73205        1
12.8611  22.4614  32.7535        1        2  2.59808        1
11.8998  23.3664  33.0082        1      2.5   3.4641        1
