   phi1      Phi     phi2    phase        x        y       ci
9.96096  19.6532  30.0563        1        1 0.866025        1
9.46773  19.5933  32.6418        1      1.5  1.73205        1
 10.813  19.9578  31.8245        1        1  2.59808        1
9.77455  18.9695  32.0198        1      1.5   3.4641        1
9.16383  19.2562  33.6147        1        1  4.33013        1
11.1065  19.7801  33.6656        1      1.5  5.19615        1
9.99889   19.411  33.0527        1        1  6.06218        1
9.49895   21.403  33.1663        1      1.5   6.9282        1
 10.274  20.2536  32.5215        1        1  7.79423        1
10.6449  19.4639  33.3453        1      1.5  8.66025        1
9.77109   20.112  32.3691        1        1  9.52628        1
 10.382   19.511  33.4494        1      1.5  10.3923        1
10.7819  19.7666  33.5939        1        1  11.2583        1
8.85134  20.2608  33.3087        1      1.5  12.1244        1
10.1468  19.8332  32.5342        1        1  12.9904        1
9.40453  19.5795  32.7332        1      1.5  13.8564        1
10.1448  18.7929   32.496        1        1  14.7224        1
10.5891  19.2968   31.056        1      1.5  15.5885        1
10.2129  20.3892  30.3221        1        1  16.4545        1
10.8279  20.4649  30.6171        1      1.5  17.3205        1
10.4731  19.4561  30.6903        1        1  18.1865        1
9.69549  19.4947  29.2082        1      1.5  19.0526        1
9.44559  20.1464  29.4663        1        1  19.9186        1
9.56815  19.6051  29.3897        1      1.5  20.7846        1
9.92583  20.7836  28.8299        1        1  21.6506        1
9.41619  19.7266  28.8424        1      1.5  22.5167        1
  10.33  20.2238  27.5219        1        1  23.3827        1
10.0373   20.594  27.6869        1      1.5  24.2487        1
10.4818  20.1157  27.9693        1        1  25.1147        1
10.2427  19.8921  28.1201        1      1.5  25.9808        1
9.92796  19.2476   26.503        1        1  26.8468        1
9.43292  19.5188  27.7959        1      1.5  27.7128        1
9.58539   20.312  27.5166        1        1  28.5788        1
9.90375  20.2896  28.0622        1      1.5  29.4449        1
9.29678  19.9477  27.9712        1        1  30.3109        1
 9.6683  20.8812    28.53        1      1.5  31.1769        1
10.2142  19.1304  29.5676        1        1  32.0429        1
10.4038  18.7107  29.7475        1      1.5   32.909        1
10.2145  20.3441  30.2408        1        1   33.775        1
10.2002  19.7027  30.6659        1      1.5   34.641        1
10.6668  20.8771  31.0717        1        1   35.507        1
10.6538  20.2083  31.7678        1      1.5  36.3731        1
9.55938  19.1927  32.7307        1        1  37.2391        1
9.20924  19.7594  32.5737        1      1.5  38.1051        1
10.2142  20.1303  33.1111        1        1  38.9711        1
10.9331  20.4011  32.8962        1      1.5  39.8372        1
9.12429  20.2906  33.4377        1        1  40.7032        1
9.56598  19.8075  34.0932        1      1.5  41.5692        1
10.1176  19.7092   33.693        1        1  42.4352        1
9.89543  20.6993  32.8916        1      1.5  43.3013        1
9.81596  20.7649  33.1898        1        1  44.1673        1
 10.111   20.387  33.8116        1      1.5  45.0333        1
9.94587  20.2103  32.9846        1        1  45.8993        1
9.74785  20.1382  33.3689        1      1.5  46.7654        1
10.0195  19.6804  32.3249        1        1  47.6314        1
10.0157   19.513  32.5401        1      1.5  48.4974        1
10.8407  20.2706  32.4459        1        1  49.3634        1
9.49041  20.3238  31.9155        1      1.5  50.2295        1
9.35853  20.5444  30.5624        1        1  51.0955        1
10.5968  20.1528  31.3301        1      1.5  51.9615        1
 10.304  20.4026  31.0319        1        1  52.8275        1
 9.8717  19.0046  29.6127        1      1.5  53.6936        1
9.44958   20.326  28.6601        1        1  54.5596        1
 10.545  20.4014  28.4073        1      1.5  55.4256        1
9.91886  20.4397   28.225        1        1  56.2917        1
9.07452  20.2651   27.946        1      1.5  57.1577        1
9.66809  21.9906   27.714        1        1  58.0237        1
9.41519   19.875  28.1049        1      1.5  58.8897        1
10.1325   19.409  27.9811        1        1  59.7558        1
10.1391  20.3126  28.7516        1      1.5  60.6218        1
9.46273  20.5039  27.2126        1        1  61.4878        1
10.0434  19.8882  28.0756        1      1.5  62.3538        1
9.26932  20.5139  27.4962        1        1  63.2199        1
10.8787  19.6361  27.4262        1      1.5  64.0859        1
10.4442  19.8391  28.9719        1        1  64.9519        1
9.48662   19.834  28.7906        1      1.5  65.8179        1
10.1161  19.9631  29.2991        1        1   66.684        1
9.95665  19.5671  30.1766        1      1.5    67.55        1
11.6095  19.4288  29.5416        1        1   68.416        1
10.1743  20.1527  30.7612        1      1.5   69.282        1
9.84386  19.8019  31.2426        1        1  70.1481        1
10.7246  20.0305  32.2443        1      1.5  71.0141        1
 10.002   20.636  31.5051        1        1  71.8801        1
9.78364  21.0144  33.7917        1      1.5  72.7461        1
8.89709  19.6377  32.7538        1        1  73.6122        1
9.86953  20.4426   33.454        1      1.5  74.4782        1
10.0757  19.6046   32.509        1        1  75.3442        1
9.77411  19.8867  33.9057        1      1.5  76.2102        1
10.0037  20.2326  33.6213        1        1  77.0763        1
10.3958  19.6019  34.3725        1      1.5  77.9423        1
10.0189  20.4414  33.6629        1        1  78.8083        1
10.0882  20.0964  33.7711        1      1.5  79.6743        1
9.09525  20.0041  32.8936        1        1  80.5404        1
9.80676  19.4338  33.1469        1      1.5  81.4064        1
10.4432  19.8565  32.1899        1        1  82.2724        1
9.45118  20.5789  30.9179        1      1.5  83.1384        1
10.7643  19.7137  32.3724        1        1  84.0045        1
11.0519  19.6585   30.896        1      1.5  84.8705        1
10.4082  19.7637   31.123        1        1  85.7365        1
