   phi1      Phi     phi2    phase        x        y       ci
11.1886  20.5195  31.0076        1        1 0.866025        1
11.4763  21.1016   32.038        1      1.5  1.73205        1
11.9166  20.3096  30.5599        1        1  2.59808        1
11.3485  21.7891  32.7994        1      1.5   3.4641        1
11.2811  21.7412  32.4165        1        1  4.33013        1
12.7687  23.0579  32.3116        1      1.5  5.19615        1
12.0436  22.5864  32.6884        1        1  6.06218        1
11.7432  22.1725  33.0346        1      1.5   6.9282        1
12.4357  20.7494  32.4475        1        1  7.79423        1
12.2516  22.7208  32.7395        1      1.5  8.66025        1
11.7767  22.4283  32.4947        1        1  9.52628        1
12.1424  20.7683  31.6597        1      1.5  10.3923        1
11.1403  22.1696   32.296        1        1  11.2583        1
11.0399   21.027  31.0004        1      1.5  12.1244        1
10.6693  22.0764  31.9613        1        1  12.9904        1
10.6061  20.4177  31.4722        1      1.5  13.8564        1
9.76926  19.8838  30.0679        1        1  14.7224        1
10.3963  19.8827  30.1285        1      1.5  15.5885        1
9.83614  18.4229  29.4181        1        1  16.4545        1
 9.6223  18.8695  29.1968        1      1.5  17.3205        1
8.67293  18.9378  28.9536        1        1  18.1865        1
  8.399  18.3786  29.4315        1      1.5  19.0526        1
9.01651  19.0385  29.2267        1        1  19.9186        1
8.85593  19.6473   29.115        1      1.5  20.7846        1
9.05603  18.3767  27.8952        1        1  21.6506        1
8.81089  18.4209  29.1461        1      1.5  22.5167        1
8.21815  18.8167  28.8369        1        1  23.3827        1
8.36434  18.8735  29.2112        1      1.5  24.2487        1
9.69595  18.9653  29.3272        1        1  25.1147        1
9.74613  19.3672  28.6277        1      1.5  25.9808        1
 9.6442  20.0203  29.7477        1        1  26.8468        1
9.55798  20.4578   30.277        1      1.5  27.7128        1
9.60145  21.0569   30.581        1        1  28.5788        1
11.5169  21.8622  29.8699        1      1.5  29.4449        1
11.0534  20.1699  31.3946        1        1  30.3109        1
11.6085  21.4032  32.0222        1      1.5  31.1769        1
11.5366   22.015  31.8628        1        1  32.0429        1
11.7952  21.7068  31.8425        1      1.5   32.909        1
11.8672  22.1829  31.7793        1        1   33.775        1
